Production Type,2015 (MWh),2016 (MWh),2017 (MWh),2018 (MWh),2019 (MWh),2020 (MWh),2021 (MWh),2022 (MWh)
Biomass,218.6397167979902,284.7522851919561,348.193743578034,398.4078346276839,351.15186835790195,332.1227210574294,356.5506451981272,419.66723575973924
Fossil Brown coal/Lignite,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Coal-derived gas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Gas,2626.7575653762706,4086.57552559415,4674.517524831602,3416.5532206486982,4322.175979888013,3929.5101412944396,3706.4221765444786,4586.82226016765
Fossil Hard coal,1017.5068769267251,901.6226533954895,1180.6467934650086,732.4751199797929,196.13976377952756,168.63617463617464,469.6773932168075,314.20418684580534
Fossil Oil,260.688213796254,268.4079067641682,277.398675647905,216.82549109182276,186.78653868129356,179.2383773928897,193.21251570172433,206.89583980130394
Fossil Oil shale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fossil Peat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Geothermal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hydro Pumped Storage,828.5320399764844,1070.280602636535,1091.3027061044681,1102.4477915733767,1029.1547765477656,995.6401896858329,926.5928034153283,1019.3755066589462
Hydro Run-of-river and poundage,4424.308131566925,4807.613459780621,4009.408929998858,4892.053449063499,4609.408867557993,4708.684594348222,4632.939476989836,3863.8199596461277
Hydro Water Reservoir,1778.3145631067962,1710.611365195518,1428.1427428571428,2018.3690041114664,1578.9924407284389,2006.1606064060184,1808.9352352467502,1163.0101404056163
Marine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nuclear,47424.7321836455,43574.71198446247,43155.60086767896,44727.581429876656,43155.08958976117,38054.34822242479,41041.259107000114,31919.332194970506
Other,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Other renewable,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Solar,802.9245347642425,909.470205479452,1016.5216894977169,1110.3712458604546,1304.0149697177465,1417.334092980857,1564.8899166381182,2340.308396709607
Waste,200.33915724563207,190.57980121101338,240.73273204703733,231.19278209227957,199.3785853045366,193.96889243391067,197.92771497088043,178.95452428992706
Wind Offshore,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wind Onshore,2237.4396984924624,2233.5973031653525,2606.9070670167825,3060.988350845135,3734.5344532053477,4365.324521422061,4016.4516386890487,3706.5334471519477
