Production Type,2015 (MWh),2016 (MWh),2017 (MWh),2018 (MWh),2019 (MWh),2020 (MWh),2021 (MWh),2022 (MWh),Unnamed: 9
Biomass,3938.734587281653,4524.707673915518,4603.6685409293295,4576.467490581116,4609.819813905697,4647.475378572241,4278.4813905697,4141.9873491179205,
Fossil Brown coal/Lignite,15273.774688891426,14842.774991460776,14761.153641968262,14652.585569128896,11727.742265098756,9490.007799157464,11216.310651900902,11682.714794181367,
Fossil Coal-derived gas,134.24783080260303,431.8240919959012,430.10848841191915,409.2698367393538,475.375,0.0,0.0,0.0,
Fossil Gas,1738.0954732275375,2605.711374245702,2920.647905011988,4893.850782052746,6234.504823610001,6730.0106171012185,5985.963723027743,5770.3017641597025,
Fossil Hard coal,9262.821697682384,9209.251964021405,7536.407238269208,8167.217262244549,5459.117650416714,3968.4627974496184,5920.244662632721,6933.825827917053,
Fossil Oil,199.4963751569814,197.9696003643402,201.5277428930243,319.1738212124672,453.44622673821215,442.82346578617785,364.87087567073866,145.3712859795729,
Fossil Oil shale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Fossil Peat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Geothermal,13.226766754195685,19.224353865421836,18.601381436237013,19.02885603379381,20.691288959926933,22.516822270294888,23.602665829432585,22.613417417882154,
Hydro Pumped Storage,1134.869277314762,1087.49538881931,1060.6076321497887,1213.480020550291,1077.8679643794953,1203.6214562222476,1033.2955816874073,1145.167479108635,
Hydro Run-of-river and poundage,1496.7442059595844,1964.5678014345895,1710.3044297294211,1638.8639114054115,1657.6502740038818,1636.1829670955256,1515.700422422651,1289.246092541009,
Hydro Water Reservoir,69.45347642424935,93.2892519640214,69.26372873615709,103.00419568443887,149.58708185865967,138.0597745644996,134.4761102865624,134.11826833797585,
Marine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
Nuclear,9630.41799862998,9135.86066833656,8243.4176846672,8200.514242493435,8110.280226053203,6935.604975520892,7468.809110629068,3753.665389972145,
Other,5308.702477451764,4541.212968234088,4710.192915857975,441.6258705331659,287.9385774631807,299.1771888876238,359.4400901929444,303.19459919529555,
Other renewable,94.71475054229936,140.54326539906637,181.677902728622,155.7772862198881,146.4272177189177,160.50794147785496,152.56861513871448,116.93821572268648,
Solar,3982.123301746775,3932.4759478538085,4096.721201050348,4707.647334170568,4785.337395821441,5217.075942160993,5321.0280568558055,7587.931019808109,
Waste,538.7351295810024,572.3336274621428,564.4283023176162,598.2421794725425,625.3104235643339,647.7221621313902,793.0487783993607,735.936165273909,
Wind Offshore,931.6676561251285,1376.3889616304225,1987.7032766297523,2176.49971457929,2785.091791300377,3060.5219173403166,2737.1903756136544,2582.9312519343857,
Wind Onshore,7992.603664801918,7429.911163611522,9719.515669596985,10193.693458157324,11408.59444571298,11738.823351929865,10187.696198196141,11195.245202723616,
