Production Type,2015 (MW),2016 (MW),2017 (MW),2018 (MW),2019 (MW),2020 (MW),2021 (MW),2022 (MW)
Biomass,6808,6815,7080,7396,7752,7987,8400,8446
Fossil Brown coal/Lignite,21160,21062,21262,21275,21205,21067,20487,18544
Fossil Coal-derived gas,0,0,0,0,0,0,0,0
Fossil Gas,31734,32398,32627,31361,31664,31712,31942,30553
Fossil Hard coal,26190,26264,27437,25035,25293,22458,23499,18830
Fossil Oil,4532,4605,4614,4271,4356,4373,4184,3966
Fossil Oil shale,0,0,0,0,0,0,0,0
Fossil Peat,0,0,0,0,0,0,0,0
Geothermal,34,34,40,38,42,47,44,51
Hydro Pumped Storage,8699,8699,8894,8918,9422,9422,9422,9280
Hydro Run-of-river and poundage,3989,3996,4007,3860,3983,3970,3814,3698
Hydro Water Reservoir,1518,1518,1439,1440,1298,1298,1298,1397
Marine,0,0,0,0,0,0,0,0
Nuclear,12068,10793,10793,9516,9516,8114,8114,4056
Other,1220,1286,1421,1418,1235,1558,1639,1679
Other renewable,449,511,510,496,445,407,420,396
Solar,37271,38686,40834,42804,45299,48206,53302,57777
Waste,1685,1685,1685,1686,1686,1661,1640,1599
Wind Offshore,993,3283,4131,5051,6393,7504,7774,7787
Wind Onshore,37701,41168,47042,51633,52792,53184,54499,55684
