Production Type,2015 (MW),2016 (MW),2017 (MW),2018 (MW),2019 (MW),2020 (MW),2021 (MW),2022 (MW)
Biomass,934,1610,1625,1354,1538,1549,1587,1548
Fossil Brown coal/Lignite,0,0,0,0,0,0,0,0
Fossil Coal-derived gas,407,766,946,2025,1812,1764,2064,2041
Fossil Gas,20796,29923,39868,39103,46322,42523,41925,41961
Fossil Hard coal,1360,6386,7902,6030,4851,7617,6987,6376
Fossil Oil,5017,8802,4928,2475,1443,1493,1480,1490
Fossil Oil shale,0,0,0,0,0,0,0,0
Fossil Peat,0,0,0,0,0,0,0,0
Geothermal,869,869,869,869,869,869,869,869
Hydro Pumped Storage,4714,7064,7157,6453,7574,7276,7276,7256
Hydro Run-of-river and poundage,10719,10482,10389,10826,10650,10441,10472,10507
Hydro Water Reservoir,6362,4226,4375,4733,3857,4459,4454,4441
Marine,0,0,0,0,0,0,0,0
Nuclear,0,0,0,0,0,0,0,0
Other,37816,13911,1708,5788,991,1394,837,825
Other renewable,0,0,2,2,0,0,0,0
Solar,4980,4768,4659,4719,4717,4874,4979,5137
Waste,116,248,241,142,132,125,125,122
Wind Offshore,0,0,0,0,0,0,0,0
Wind Onshore,8457,8739,9024,9261,9617,10224,10302,10658
