Production Type,2015 (MW),2016 (MW),2017 (MW),2018 (MW),2019 (MW),2020 (MW),2021 (MW),2022 (MW)
Biomass,671,705,541,520,507,555,704,702
Fossil Brown coal/Lignite,1198,1056,0,0,0,0,0,0
Fossil Coal-derived gas,0,0,0,0,0,0,0,0
Fossil Gas,30429,30295,30723,30683,30266,30012,29970,29927
Fossil Hard coal,9411,9411,9535,9535,9561,9214,5977,4642
Fossil Oil,650,681,715,715,714,707,678,669
Fossil Oil shale,0,0,0,0,0,0,0,0
Fossil Peat,0,0,0,0,0,0,0,0
Geothermal,0,0,0,0,0,0,0,0
Hydro Pumped Storage,4825,5593,5645,5645,5645,5645,5645,5695
Hydro Run-of-river and poundage,1085,1156,1156,1156,1156,1155,1155,1155
Hydro Water Reservoir,18187,19076,19113,19125,19146,19139,19186,19187
Marine,0,0,0,0,0,0,0,0
Nuclear,7572,7572,7572,7117,7117,7117,7117,7117
Other,93,103,107,117,117,117,117,118
Other renewable,141,157,253,262,261,275,269,272
Solar,6535,6500,6720,6722,6751,8466,11390,14640
Waste,269,378,536,544,538,543,537,565
Wind Offshore,0,0,0,0,0,0,0,0
Wind Onshore,22740,22772,22813,22834,22961,24447,26664,27735
